,given_name,surname,gender,birthdate,country_of_birth,current_country,phone_number,postcode,national_insurance_number,bank_account_number,cc_status,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited,bmi,birth_year,age,age_groups,smoking_status,level of drinking_status,level of bmi,countries_visited,continent_of_birth,NI_enc,hash,postcode_split
249,Sophie,Brown,F,1966-05-08,Costa Rica,United Kingdom,(07700)900901,M2E 6ER,ZZ 048469 T,67400724,0,A-,7.8,483.5,secondary,35,14.36,1966,57,50-60,heavy smokers,high,underweight,35-50,North America,b'ZZ 048469 T',e36570cf812cf296b5430b039fc9cb8d7dd41734,M2E
250,Helen,Benson,F,1970-03-10,El Salvador,United Kingdom,(07700) 900 183,DG8M 4TU,ZZ 963303 T,62430867,0,A+,9.1,100.5,masters,35,36.34,1970,53,50-60,intermediate smokers,high,overweight,35-50,North America,b'ZZ 963303 T',4737a785d5eea907a3c21885a659cb10d6d63f83,DG8M
251,Dennis,Henderson,M,1970-05-24,Bulgaria,United Kingdom,(07700) 900120,BL2 8EE,ZZ 012694 T,17139980,0,B-,1.3,386.7,secondary,48,20.99,1970,52,50-60,heavy smokers,low,healthy,35-50,Europe,b'ZZ 012694 T',65cb4955649350c46616bafd61a8c07a15148f0d,BL2
252,Leonard,Brown,M,1971-10-07,Chad,United Kingdom,07700 900 974,WS9 8ZR,ZZ121827T,30904312,0,O-,1.8,139.8,bachelor,24,18.73,1971,52,50-60,intermediate smokers,low,healthy,19-34,Africa,b'ZZ121827T',d18c0c7361fe2c80e400f1ea23b4e5918ecc4dff,WS9
253,Callum,Smith,M,1988-12-01,United Arab Emirates,United Kingdom,(07700) 900 498,ZE74 3ZX,ZZ166315T,119308101,0,O+,8.0,259.2,secondary,33,33.3,1988,35,30-40,heavy smokers,high,overweight,19-34,Asia,b'ZZ166315T',ef3bb9ff0d643a7bb580e83a0f23f733bc34dcdf,ZE74
254,Yvonne,Evans,F,1969-11-03,Greenland,United Kingdom,+447700 900 107,WR44 9LR,ZZ 220120 T,69587632,0,O+,0.2,172.4,bachelor,25,10.1,1969,54,50-60,intermediate smokers,low,underweight,19-34,North America,b'ZZ 220120 T',429a2bca6907ee07e14d1430846f57f652bf9de8,WR44
255,Suzanne,Long,F,2002-01-26,Macao,United Kingdom,+447700 900 799,OL49 2NG,ZZ 898642 T,119146460,0,O+,6.8,402.9,bachelor,22,15.73,2002,20,<20,heavy smokers,moderate,underweight,19-34,Asia,b'ZZ 898642 T',f2f589eb330589c0f82be1426207577aa3d5ebd9,OL49
256,Dylan,Harper,M,1969-10-25,Mali,United Kingdom,(07700) 900309,ML4B 5RQ,ZZ 963500 T,29861657,0,O-,5.0,310.4,masters,29,34.27,1969,53,50-60,heavy smokers,moderate,overweight,19-34,Africa,b'ZZ 963500 T',fac478dd24e982f5a50155966d2eec13f4ab7ae4,ML4B
257,Terry,Lloyd,M,1978-08-17,Russian Federation,United Kingdom,(07700)900525,BT4 4NF,ZZ963913T,57242400,1,B-,4.8,122.0,bachelor,7,15.23,1978,44,40-50,intermediate smokers,moderate,underweight,2-18,Europe,b'ZZ963913T',2f58c6d7858ddb14ec84dabdca976d23b67b3968,BT4
258,Rebecca,Smith,F,1978-07-31,Wallis and Futuna,United Kingdom,+44(0)7700 900170,CV7 3PD,ZZ 47 74 65 T,108211267,0,A+,5.0,439.7,secondary,26,25.6,1978,44,40-50,heavy smokers,moderate,overweight,19-34,Oceania,b'ZZ 47 74 65 T',a5ac486f462ac5f59e7b1c83cb7ee4b8f3777c1d,CV7
259,Barry,Hopkins,M,1992-11-11,Namibia,United Kingdom,+44(0)7700900482,LN6H 4LP,ZZ 43 14 66 T,67118320,0,O+,7.3,49.1,secondary,45,11.97,1992,31,30-40,intermediate smokers,high,underweight,35-50,Africa,b'ZZ 43 14 66 T',4a3e17b92b1172f48e863f3d06088d9ebab3e8f0,LN6H
260,Bernard,Barrett,M,1980-05-25,Saudi Arabia,United Kingdom,(07700) 900020,IG7M 5GA,ZZ 420771 T,77107635,0,O+,9.4,71.0,secondary,23,24.16,1980,42,40-50,intermediate smokers,high,healthy,19-34,Asia,b'ZZ 420771 T',42843e148487c092318f269bf8b1b536bdaf2fd2,IG7M
261,Ashley,Clarke,M,1988-06-05,Kiribati,United Kingdom,07700 900568,ME7 5YN,ZZ 11 13 67 T,29708228,0,A+,8.8,162.1,other,49,17.4,1988,35,30-40,intermediate smokers,high,underweight,35-50,Oceania,b'ZZ 11 13 67 T',546a6d21cbea66f02e202dff2204bfe8d4f251f3,ME7
262,Hugh,Ali,M,1994-01-26,Fiji,United Kingdom,(07700)900252,W62 5GT,ZZ 25 01 44 T,52936782,0,A+,3.8,239.3,bachelor,50,15.44,1994,28,20-30,heavy smokers,low,underweight,35-50,Oceania,b'ZZ 25 01 44 T',cddaff805b4d0bcc75bfa77fb089cd17f20fba22,W62
263,Mark,Phillips,M,1983-02-10,Mongolia,United Kingdom,07700 900458,S4E 7JN,ZZ030105T,72401145,0,A+,3.6,443.9,secondary,20,19.85,1983,40,30-40,heavy smokers,low,healthy,19-34,Asia,b'ZZ030105T',9296d4d53d112539fe9dd00f7c19b7a6eff63e20,S4E
264,Joan,Fuller,F,1965-06-05,Japan,United Kingdom,(07700) 900546,PA84 6JG,ZZ 742192 T,34441512,0,A+,4.6,59.1,secondary,9,19.62,1965,58,50-60,intermediate smokers,moderate,healthy,2-18,Asia,b'ZZ 742192 T',1bd95b6b950241b5c5088c824a89d6551c0d07c2,PA84
265,Paul,Chapman,M,1960-05-05,Montserrat,United Kingdom,+44(0)7700900580,PL7 1GL,ZZ 339520 T,10310719,0,B+,8.1,407.8,masters,16,39.69,1960,63,60-70,heavy smokers,high,overweight,2-18,North America,b'ZZ 339520 T',8ce85935f35af6f3ef513def1809d7bbf79100e6,PL7
266,Carl,Chapman,M,1980-02-17,Dominican Republic,United Kingdom,+44(0)7700 900623,MK8W 7RH,ZZ 89 96 97 T,36988125,0,O+,5.3,443.3,masters,4,17.13,1980,42,40-50,heavy smokers,moderate,underweight,2-18,North America,b'ZZ 89 96 97 T',e9a55c4815c85160c6c7a046d099a0b7db35fa2c,MK8W
267,Carly,Perry,F,1967-05-31,Germany,United Kingdom,+44(0)7700 900 296,RM9 6NH,ZZ696837T,20978057,0,O+,2.0,26.8,bachelor,39,49.04,1967,55,50-60,light smokers,low,overweight,35-50,Europe,b'ZZ696837T',98472be4697babbc3c4117ba67f1d7a5a0c349ae,RM9
268,Judith,Hobbs,F,1977-12-16,Liberia,United Kingdom,+44(0)7700 900949,E0W 4GL,ZZ 311930 T,56418905,0,A+,1.9,107.6,secondary,15,30.07,1977,45,40-50,intermediate smokers,low,overweight,2-18,Africa,b'ZZ 311930 T',8023d2a0f58388a0f2c6d5d7134934ada12ddefc,E0W
269,Julie,Pratt,F,2001-03-29,Djibouti,United Kingdom,07700 900629,PL5B 3UY,ZZ 83 87 27 T,105321477,0,O+,0.6,231.4,primary,41,40.83,2001,21,20-30,heavy smokers,low,overweight,35-50,Africa,b'ZZ 83 87 27 T',ec880a11d524e6df2f02db237b649bfb3801e5e5,PL5B
270,Tina,King,F,1959-11-27,United Arab Emirates,United Kingdom,+447700 900 367,G6A 8JX,ZZ 502181 T,42653169,0,A-,9.1,148.1,secondary,7,27.66,1959,63,60-70,intermediate smokers,high,overweight,2-18,Asia,b'ZZ 502181 T',885c07630c45179a4ba22d48aea7e5b66ca77e1a,G6A
271,Sandra,Edwards,F,1965-09-05,Rwanda,United Kingdom,(07700) 900 796,HU2 4RQ,ZZ 33 62 64 T,42055903,0,O+,1.5,377.0,bachelor,29,20.3,1965,58,50-60,heavy smokers,low,healthy,19-34,Africa,b'ZZ 33 62 64 T',9d479830bef4be9650b657abc75123170c800882,HU2
272,Donna,Kay,F,1989-01-17,Burkina Faso,United Kingdom,+44(0)7700 900028,N76 8FG,ZZ 789209 T,16203969,0,O+,3.1,288.3,secondary,44,27.85,1989,33,30-40,heavy smokers,low,overweight,35-50,Africa,b'ZZ 789209 T',49c4f3540d62a64aa9fbd326211693306411d022,N76
273,Kenneth,Jones,M,1983-05-01,Mali,United Kingdom,+447700900147,N7 7FF,ZZ 957501 T,49016437,0,O+,0.3,476.1,phD,32,30.74,1983,40,30-40,heavy smokers,low,overweight,19-34,Africa,b'ZZ 957501 T',8f9d1d31ff4f2c7bccfcb012e26f53607ee5023c,N7
274,Kevin,Haynes,M,1978-08-18,South Georgia and the South Sandwich Islands,United Kingdom,+447700 900868,L61 7AT,ZZ 03 34 98 T,31796626,0,A+,4.6,483.4,secondary,3,30.1,1978,44,40-50,heavy smokers,moderate,overweight,2-18,South America,b'ZZ 03 34 98 T',13340ca499e7f7bedcf5493558f2cfae5b27c2d3,L61
275,Lauren,Preston,F,1961-03-08,Sudan,United Kingdom,07700 900791,L6 4BZ,ZZ 897885 T,111540404,0,O+,0.2,279.5,secondary,40,15.39,1961,62,60-70,heavy smokers,low,underweight,35-50,Africa,b'ZZ 897885 T',bfebc53085d828c6606f20749042033e418519bc,L6
276,Hugh,Taylor,M,1983-05-02,Guernsey,United Kingdom,07700 900 795,L28 4TT,ZZ 34 21 32 T,24775023,0,A-,6.0,347.3,primary,40,22.11,1983,40,30-40,heavy smokers,moderate,healthy,35-50,Europe,b'ZZ 34 21 32 T',0b30eb8c4aa7cc1714d3894a2d33ab9e6e6f671c,L28
277,Nigel,Dodd,M,1972-09-04,Aruba,United Kingdom,07700 900 429,W4 9ER,ZZ565655T,48473000,0,O+,1.9,331.1,phD,13,19.83,1972,51,50-60,heavy smokers,low,healthy,2-18,North America,b'ZZ565655T',94869c756223436ade08fa234beba1cfecade70c,W4
278,Olivia,Taylor,F,1980-02-29,Tunisia,United Kingdom,07700900997,IP3 2XL,ZZ 64 94 05 T,29558591,0,A+,3.1,129.0,masters,37,39.9,1980,42,40-50,intermediate smokers,low,overweight,35-50,Africa,b'ZZ 64 94 05 T',3ca5819a42b4360dffb8c71245af2b878c0d7343,IP3
279,Jade,Atkinson,F,1990-05-26,Dominica,United Kingdom,(07700) 900082,SO8 9LQ,ZZ 65 86 55 T,116643814,0,O+,6.5,250.3,secondary,16,23.45,1990,32,30-40,heavy smokers,moderate,healthy,2-18,North America,b'ZZ 65 86 55 T',42698f75a93cb2b78928fbdde06a42f542d02fa9,SO8
280,Bradley,Brady,M,1979-02-20,Taiwan,United Kingdom,+447700 900287,E4D 1LP,ZZ 058025 T,81936342,0,B+,3.7,469.5,secondary,29,25.39,1979,43,40-50,heavy smokers,low,overweight,19-34,Asia,b'ZZ 058025 T',9b63f3a9b2a238ecece348e56ee3562c1e468101,E4D
281,Richard,Bailey,M,1979-05-25,Martinique,United Kingdom,+44(0)7700 900 450,B9G 7UN,ZZ 60 33 61 T,24152617,0,O+,8.7,496.7,masters,24,22.93,1979,43,40-50,heavy smokers,high,healthy,19-34,North America,b'ZZ 60 33 61 T',3b197ebd284076fd926dce4b38ad58a200245dcd,B9G
282,Victoria,Kelly,F,1967-09-30,Slovenia,United Kingdom,(07700) 900 385,L4 8HL,ZZ 39 73 19 T,60942302,0,A+,9.7,169.2,bachelor,44,27.15,1967,55,50-60,intermediate smokers,high,overweight,35-50,Europe,b'ZZ 39 73 19 T',e6a439e2d124505cc1f845ef4f43330e6a74f0e5,L4
283,Brenda,Brooks,F,1987-09-24,Slovakia,United Kingdom,+44(0)7700900985,L6T 9QW,ZZ 271375 T,89642078,0,AB+,8.8,426.7,secondary,38,34.03,1987,35,30-40,heavy smokers,high,overweight,35-50,Europe,b'ZZ 271375 T',78dacc289fa81678bfacfef0471ea829da1a3d58,L6T
284,Holly,Scott,F,1960-09-28,Nepal,United Kingdom,+44(0)7700 900058,WD69 1HB,ZZ645895T,35215145,0,O+,8.6,123.7,secondary,26,33.0,1960,62,60-70,intermediate smokers,high,overweight,19-34,Asia,b'ZZ645895T',a35100161ce8345a971e125d46e0fabcc448356d,WD69
285,Clive,Matthews,M,1962-12-20,Tokelau,United Kingdom,(07700)900926,M4F 9BE,ZZ 71 53 47 T,36388877,0,A-,4.5,488.1,other,9,25.64,1962,60,50-60,heavy smokers,moderate,overweight,2-18,Oceania,b'ZZ 71 53 47 T',358a1992e31c5fd5b5098ad5aaa3b3197a114653,M4F
286,Lucy,Jones,F,1964-10-13,Lebanon,United Kingdom,+447700 900859,MK0H 1PR,ZZ698609T,62242929,0,A-,7.4,212.3,masters,37,30.22,1964,58,50-60,heavy smokers,high,overweight,35-50,Asia,b'ZZ698609T',e9a5ec9390608b631cb735a319dd7f08f06409af,MK0H
287,Kate,Russell,F,1962-09-08,Nauru,United Kingdom,+44(0)7700900599,S52 8ER,ZZ457956T,81277726,0,A+,4.0,205.5,secondary,27,34.45,1962,61,60-70,heavy smokers,moderate,overweight,19-34,Oceania,b'ZZ457956T',b183c94fb2825268eadeaedeb7370cad916b0660,S52
288,Kenneth,Cox,M,2003-10-30,Heard Island and McDonald Islands,United Kingdom,+44(0)7700 900529,G9S 3JX,ZZ720984T,58107463,0,A+,1.5,391.9,bachelor,9,13.98,2003,19,<20,heavy smokers,low,underweight,2-18,Antarctica,b'ZZ720984T',8632e73964ef8304f8a57fc28fd150565d19e64e,G9S
289,Nicola,Ball,F,1972-12-22,Lesotho,United Kingdom,07700 900 877,N7G 9BD,ZZ 33 34 58 T,38633818,0,O+,7.2,431.1,secondary,24,40.02,1972,50,40-50,heavy smokers,high,overweight,19-34,Africa,b'ZZ 33 34 58 T',d87615288ac6361ea6edadeb5329dc56889f3242,N7G
290,Claire,Miller,F,1956-10-13,Cocos (Keeling) Islands,United Kingdom,(07700) 900670,N91 2RS,ZZ 775923 T,65929663,0,O+,4.6,46.3,secondary,44,27.85,1956,66,60-70,intermediate smokers,moderate,overweight,35-50,Asia,b'ZZ 775923 T',1f0f06b4d81a7d2d16e539eb70cbb3b7c835dd34,N91
291,Mohammed,James,M,1992-10-29,Suriname,United Kingdom,+447700 900 271,SM4P 0WT,ZZ 40 04 90 T,19385554,0,O+,6.2,457.2,masters,26,18.68,1992,30,20-30,heavy smokers,moderate,healthy,19-34,South America,b'ZZ 40 04 90 T',f5f7514589b7b517d942f73284fecd5aef596b1e,SM4P
292,Patricia,Lewis,F,1995-06-23,Syrian Arab Republic,United Kingdom,(07700) 900020,N1 2QY,ZZ 390685 T,76671803,0,O+,4.5,330.4,masters,28,44.01,1995,27,20-30,heavy smokers,moderate,overweight,19-34,Asia,b'ZZ 390685 T',db9899a07f20affecb7fb2aa3c555443b6ab5fdc,N1
293,Ross,Smith,M,1963-08-17,Guinea-Bissau,United Kingdom,07700 900758,ZE61 2SR,ZZ009252T,84975410,0,O-,8.0,194.9,bachelor,17,12.21,1963,59,50-60,heavy smokers,high,underweight,2-18,Africa,b'ZZ009252T',a97ef9e75c5f4af6213e687af9e14abce2a14e4d,ZE61
294,Shannon,Harding,F,1989-07-06,Argentina,United Kingdom,+44(0)7700900764,DG0 3ZW,ZZ 36 42 06 T,105972965,0,AB+,6.6,34.4,primary,50,34.11,1989,34,30-40,light smokers,moderate,overweight,35-50,South America,b'ZZ 36 42 06 T',8358ddf48b46ef358f76e42819f8515aa4dfcae1,DG0
295,Sean,Chapman,M,1994-01-17,Panama,United Kingdom,(07700) 900595,PH99 1RH,ZZ 37 58 38 T,123773120,0,O+,5.0,278.8,secondary,31,12.62,1994,28,20-30,heavy smokers,moderate,underweight,19-34,North America,b'ZZ 37 58 38 T',813446050c8511f46919d62602163a7d2f78412a,PH99
296,Keith,Hunter,M,1977-06-18,Brunei Darussalam,United Kingdom,07700 900 998,DA67 4TQ,ZZ 469681 T,77430645,0,O+,4.2,254.1,masters,23,29.61,1977,45,40-50,heavy smokers,moderate,overweight,19-34,Asia,b'ZZ 469681 T',d68baec1a9a117ad4cd366064f05990214bf2cd1,DA67
297,Katy,Lee,F,1994-11-08,Namibia,United Kingdom,+447700 900655,G5E 2WH,ZZ172412T,68790899,0,A-,5.8,346.8,bachelor,48,22.86,1994,29,20-30,heavy smokers,moderate,healthy,35-50,Africa,b'ZZ172412T',a7792490122165d16e3c11d3694631d7ea66399d,G5E
298,Colin,Robson,M,1984-06-05,Norfolk Island,United Kingdom,(07700) 900 409,AB5 1HD,ZZ 606943 T,38158335,0,A+,5.7,372.9,secondary,23,26.79,1984,39,30-40,heavy smokers,moderate,overweight,19-34,Oceania,b'ZZ 606943 T',c05dbf3f29b072141fd5e81f7e8e04e6fa4d5035,AB5
299,Jill,Myers,F,1991-03-31,Isle of Man,United Kingdom,+44(0)7700 900260,EN1 7NL,ZZ060903T,100213865,0,B+,3.4,304.6,masters,6,42.81,1991,31,30-40,heavy smokers,low,overweight,2-18,Europe,b'ZZ060903T',27986e2294f3c3fbd8fbca03f8515198356a55f2,EN1
300,Dennis,Booth,M,1963-04-01,Bolivia,United Kingdom,+44(0)7700 900351,DD2V 7WZ,ZZ 169838 T,125486716,0,AB+,5.0,68.1,bachelor,31,27.1,1963,60,50-60,intermediate smokers,moderate,overweight,19-34,South America,b'ZZ 169838 T',a0279d8e7db0377d7fde7c24afea51e42f4b1382,DD2V
301,Kim,Savage,F,1983-09-18,Tunisia,United Kingdom,07700 900548,BN0N 1JQ,ZZ 058393 T,61101579,0,A+,1.5,122.5,bachelor,31,43.83,1983,39,30-40,intermediate smokers,low,overweight,19-34,Africa,b'ZZ 058393 T',4944f6e30be95c1ee87f6b4159ed65b5ec07af1d,BN0N
302,Gordon,Johnson,M,1983-05-18,Luxembourg,United Kingdom,(07700)900502,CA85 6PB,ZZ692577T,45990939,0,O+,4.7,379.2,secondary,28,23.77,1983,39,30-40,heavy smokers,moderate,healthy,19-34,Europe,b'ZZ692577T',d6d0eff0c76c29e551db0de3c3c1a7786620120f,CA85
303,Teresa,Wallis,F,1961-12-31,Netherlands,United Kingdom,07700900673,GU9X 0UB,ZZ 20 72 36 T,30328037,0,A+,7.6,39.5,other,24,20.81,1961,61,60-70,light smokers,high,healthy,19-34,Europe,b'ZZ 20 72 36 T',79413902599eda6ffb09049ab81a5a82593d20ca,GU9X
304,Joshua,Schofield,M,1992-07-02,Slovakia,United Kingdom,07700 900 368,TN7Y 7WR,ZZ072731T,47056169,0,A+,3.1,418.0,bachelor,12,19.48,1992,31,30-40,heavy smokers,low,healthy,2-18,Europe,b'ZZ072731T',82787f427f298cdc820064c6c218475d59bcc15b,TN7Y
305,George,Cooper,M,1997-05-13,Saint Lucia,United Kingdom,+447700900642,NR48 6DQ,ZZ 087469 T,87578830,0,AB-,3.1,62.4,secondary,23,23.55,1997,25,20-30,intermediate smokers,low,healthy,19-34,North America,b'ZZ 087469 T',7f53019a62110c660029d615e49d880f548f0074,NR48
306,Laura,Franklin,F,1971-07-12,Swaziland,United Kingdom,(07700) 900 446,FY42 3FZ,ZZ388770T,108700914,0,O-,4.5,75.3,bachelor,28,19.19,1971,52,50-60,intermediate smokers,moderate,healthy,19-34,Africa,b'ZZ388770T',935bae539a823dc1b1fca07fe10b02dabca3d3c3,FY42
307,Glenn,Watts,M,1995-01-12,Belarus,United Kingdom,+447700900326,M2S 4ZY,ZZ442438T,126330829,0,B-,2.9,111.1,phD,9,24.08,1995,28,20-30,intermediate smokers,low,healthy,2-18,Europe,b'ZZ442438T',eb6c9bda77f36c6d87e0419099aab1f0f2448946,M2S
308,Ashley,Wright,M,1971-01-11,Estonia,United Kingdom,(07700) 900 089,BS7M 0QR,ZZ785644T,94594001,0,O+,3.3,56.3,secondary,8,22.56,1971,52,50-60,intermediate smokers,low,healthy,2-18,Europe,b'ZZ785644T',f578eb1ff85b2832e5dce26e8ea1209fb5f55ad4,BS7M
309,Justin,Edwards,M,1981-06-13,Tajikistan,United Kingdom,(07700)900977,HX8E 0RY,ZZ 12 34 47 T,104340828,0,B-,1.4,324.5,phD,6,18.62,1981,41,40-50,heavy smokers,low,healthy,2-18,Asia,b'ZZ 12 34 47 T',62bccbd255d2085586b53b28e3ba96cbb66202bf,HX8E
310,Pauline,Anderson,F,1978-08-28,Syrian Arab Republic,United Kingdom,+44(0)7700 900937,W4 6SB,ZZ061735T,12787683,0,A+,6.9,11.0,bachelor,43,42.83,1978,44,40-50,light smokers,moderate,overweight,35-50,Asia,b'ZZ061735T',120d2b1204e1aca0845cd9f50151242b821a57f4,W4
311,Jack,Clarke,M,1970-12-01,Liechtenstein,United Kingdom,07700 900018,B8 1QB,ZZ 78 19 34 T,50372351,0,A+,9.8,433.6,secondary,48,27.09,1970,53,50-60,heavy smokers,high,overweight,35-50,Europe,b'ZZ 78 19 34 T',d663e9d05debab71b9e3dda4f81a8ed7352f5c6a,B8
312,Terry,Turner,M,1959-07-17,Bahamas,United Kingdom,+44(0)7700 900758,BH08 2XD,ZZ 78 88 30 T,47020276,0,AB+,3.3,351.7,secondary,7,11.93,1959,63,60-70,heavy smokers,low,underweight,2-18,North America,b'ZZ 78 88 30 T',7a4ea78f936b2d3e92aa008190c5443398896dd9,BH08
313,Terence,Norman,M,1962-05-26,Papua New Guinea,United Kingdom,+44(0)7700900586,OX7W 3DL,ZZ 676244 T,104033371,0,B+,2.3,296.4,masters,18,12.04,1962,60,50-60,heavy smokers,low,underweight,2-18,Oceania,b'ZZ 676244 T',15cf478d97a4c5ad14d7f8734e2ca25b08ed642f,OX7W
314,Sarah,Archer,F,1982-11-19,Gibraltar,United Kingdom,07700 900705,SE70 9LH,ZZ 98 44 81 T,26681597,0,A+,0.2,328.8,secondary,8,28.24,1982,40,30-40,heavy smokers,low,overweight,2-18,Europe,b'ZZ 98 44 81 T',0a45efd00beaee83741d43406411dd39a48e1103,SE70
315,Holly,Barton,F,1985-02-16,Kiribati,United Kingdom,+447700 900666,WV1 8WX,ZZ 960526 T,128405008,1,A+,4.6,432.9,bachelor,43,21.03,1985,37,30-40,heavy smokers,moderate,healthy,35-50,Oceania,b'ZZ 960526 T',06b205584f66ee7f13ea36a8805c291fc9daf2c9,WV1
316,Thomas,Smith,M,1969-08-21,Belarus,United Kingdom,(07700) 900 039,G5J 6EU,ZZ 269052 T,107500432,0,O+,4.0,145.1,other,19,38.42,1969,53,50-60,intermediate smokers,moderate,overweight,19-34,Europe,b'ZZ 269052 T',6410279d98c907c7595d478b649d01e0979012fb,G5J
317,Marcus,Allen,M,1967-11-28,Rwanda,United Kingdom,+447700 900 979,DH35 9QX,ZZ846447T,101004688,0,O-,8.2,465.5,secondary,37,18.73,1967,55,50-60,heavy smokers,high,healthy,35-50,Africa,b'ZZ846447T',7e4be3ba1b81704547309a16c1d6e3631a503f00,DH35
318,Victor,Graham,M,1968-12-07,Palau,United Kingdom,+44(0)7700900069,B5H 5XP,ZZ 990037 T,77449102,0,A+,8.6,395.4,secondary,18,17.75,1968,55,50-60,heavy smokers,high,underweight,2-18,Oceania,b'ZZ 990037 T',0a2756f494a7e31a64282a7d955a964f00ffe17a,B5H
319,Pamela,Green,F,1963-01-31,Dominica,United Kingdom,+447700900953,W61 0DF,ZZ 16 76 25 T,80834597,0,O+,0.4,36.9,bachelor,21,21.84,1963,59,50-60,light smokers,low,healthy,19-34,North America,b'ZZ 16 76 25 T',7e0433d0a58ad572fa2306e4afb36c29c48acbd7,W61
320,Jill,Morgan,F,1967-06-10,Hungary,United Kingdom,+447700900944,S8 1LQ,ZZ 96 51 07 T,120314197,0,A+,7.8,484.8,other,37,27.2,1967,56,50-60,heavy smokers,high,overweight,35-50,Europe,b'ZZ 96 51 07 T',9a976a0b89deb7c18899ef63e0c50dfa54f4e054,S8
321,Malcolm,Williams,M,1973-01-30,Suriname,United Kingdom,07700 900963,N3C 1XR,ZZ 182817 T,42529044,0,O+,6.1,347.5,secondary,20,13.65,1973,49,40-50,heavy smokers,moderate,underweight,19-34,South America,b'ZZ 182817 T',ab3315f1ebc885caab792d5bfae1010109969e04,N3C
322,Marion,Sanderson,F,1959-01-08,Congo,United Kingdom,+447700900172,DY7Y 0RE,ZZ396311T,26340155,0,O+,6.5,481.1,secondary,46,14.02,1959,64,60-70,heavy smokers,moderate,underweight,35-50,Africa,b'ZZ396311T',99d2d620d148ca36e30d3cfa3f0b585b698ce695,DY7Y
323,Arthur,Lloyd,M,1957-11-19,Iceland,United Kingdom,07700 900 212,BS7N 9GL,ZZ 65 45 98 T,23366297,0,A+,7.4,11.5,secondary,3,29.11,1957,65,60-70,light smokers,high,overweight,2-18,Europe,b'ZZ 65 45 98 T',82197a965c635cb3c831f48bf8f47f9f5fe3e4ec,BS7N
324,Lisa,Cox,F,1971-01-20,French Guiana,United Kingdom,+44(0)7700900646,B6 4AR,ZZ 01 90 40 T,16898277,0,AB+,9.3,460.8,primary,30,13.3,1971,51,50-60,heavy smokers,high,underweight,19-34,South America,b'ZZ 01 90 40 T',5923964bc8158822bf34d46a026f3c3dd9a624bb,B6
325,Anthony,Fitzgerald,M,1962-01-28,Montenegro,United Kingdom,07700 900 633,B11 3TQ,ZZ 559066 T,79765208,0,B+,5.0,494.9,primary,16,25.09,1962,60,50-60,heavy smokers,moderate,overweight,2-18,Europe,b'ZZ 559066 T',9441e3442a500e7cce1868ca2e81fae27cc4cb3c,B11
326,Gillian,Roberts,F,1983-04-08,Indonesia,United Kingdom,07700900748,B6U 3AS,ZZ213565T,62393616,0,O+,4.9,102.4,masters,29,27.38,1983,40,30-40,intermediate smokers,moderate,overweight,19-34,Asia,b'ZZ213565T',5f4c9741ba9e0d19ed098d4d5ae88009d1db23bd,B6U
327,Alex,Moran,M,1996-02-14,Moldova,United Kingdom,+44(0)7700 900934,G9 5PW,ZZ967251T,45530580,0,A+,0.8,332.2,other,9,37.54,1996,26,20-30,heavy smokers,low,overweight,2-18,Europe,b'ZZ967251T',37920d48bbbfbe1414afa7fa61a5a6c65e0c2700,G9
328,Leigh,Hudson,M,1962-04-20,Italy,United Kingdom,(07700) 900901,CR7 4DX,ZZ 92 91 18 T,49028519,0,O+,3.4,437.9,secondary,13,11.48,1962,60,50-60,heavy smokers,low,underweight,2-18,Europe,b'ZZ 92 91 18 T',b386f2507b2cbc59174856f8da46a2c88f15b089,CR7
329,Lisa,Greenwood,F,1995-02-18,Sweden,United Kingdom,07700900524,W4D 4HQ,ZZ 67 54 09 T,34344237,0,A+,0.6,452.5,secondary,43,36.95,1995,27,20-30,heavy smokers,low,overweight,35-50,Europe,b'ZZ 67 54 09 T',3cba66a95ca4e500b1fe23e0d5bac3be4fae861b,W4D
330,Ben,Hayes,M,1961-10-09,Tonga,United Kingdom,07700 900759,L4 0LA,ZZ 14 45 66 T,39819673,0,A+,2.8,235.7,masters,24,24.12,1961,62,60-70,heavy smokers,low,healthy,19-34,Oceania,b'ZZ 14 45 66 T',db3a9aa2b0fa5d895a503f606f2fcbcb108bf8db,L4
331,Eleanor,Atkins,F,1988-04-12,Bosnia and Herzegovina,United Kingdom,+447700 900616,M7 2RZ,ZZ 96 32 28 T,23354474,0,O+,2.3,349.3,secondary,3,13.44,1988,35,30-40,heavy smokers,low,underweight,2-18,Europe,b'ZZ 96 32 28 T',543ce48b5afc9ee768b2411e56964945cd0f8a3a,M7
332,Grace,Walker,F,1996-07-18,Armenia,United Kingdom,(07700)900446,NW7W 4SA,ZZ 13 48 30 T,71983143,0,A+,8.8,142.5,other,28,14.15,1996,26,20-30,intermediate smokers,high,underweight,19-34,Asia,b'ZZ 13 48 30 T',29ecf07d75493c3e8ad6780672f9742318887e4e,NW7W
333,Brett,Gibson,M,1981-11-06,Papua New Guinea,United Kingdom,+44(0)7700900617,B4 5UJ,ZZ 45 32 27 T,47225408,0,O+,7.8,425.8,masters,10,29.49,1981,42,40-50,heavy smokers,high,overweight,2-18,Oceania,b'ZZ 45 32 27 T',6a91e311d586c8fb56f5fefa5186aae6f69ababa,B4
